measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),New Hampshire,Female,55-59 years,Diet low in vegetables,2005,1.511751605
YLDs (Years Lived with Disability),New Hampshire,Male,45-49 years,Diet low in fruits,2005,10.80410217
YLDs (Years Lived with Disability),New Hampshire,Male,25-29 years,Diet low in fruits,2005,1.326620024
YLDs (Years Lived with Disability),New Jersey,Female,85-89 years,Diet low in fiber,2005,17.85455832
YLDs (Years Lived with Disability),New York,Male,30-34 years,Diet high in processed meat,2005,18.4300245
YLDs (Years Lived with Disability),North Carolina,Female,40-44 years,Diet low in fruits,2005,16.06792903
YLDs (Years Lived with Disability),North Dakota,Female,45-49 years,Diet low in fruits,2005,15.21511939
YLDs (Years Lived with Disability),Ohio,Male,70-74 years,Diet high in red meat,2005,285.5654219
YLDs (Years Lived with Disability),Oregon,Male,85-89 years,Diet high in sugar-sweetened beverages,2005,120.4746597
YLDs (Years Lived with Disability),Oregon,Female,80-84 years,Diet high in red meat,2005,122.9772887
YLDs (Years Lived with Disability),Oregon,Female,35-39 years,Diet low in fiber,2005,1.978416269
YLDs (Years Lived with Disability),Pennsylvania,Male,45-49 years,Diet high in processed meat,2005,136.779696
YLDs (Years Lived with Disability),Pennsylvania,Male,85-89 years,Diet low in fiber,2005,23.08401073
YLDs (Years Lived with Disability),Rhode Island,Male,65-69 years,Diet low in vegetables,2005,3.979239563
YLDs (Years Lived with Disability),South Carolina,Male,60-64 years,Diet low in fiber,2005,20.89416505
YLDs (Years Lived with Disability),South Dakota,Female,35-39 years,Diet low in whole grains,2005,10.75295146
YLDs (Years Lived with Disability),Tennessee,Male,90-94 years,Diet low in vegetables,2005,4.560739446
YLDs (Years Lived with Disability),Tennessee,Male,25-29 years,Diet low in vegetables,2005,0.066515173
YLDs (Years Lived with Disability),Tennessee,Male,45-49 years,Diet high in sugar-sweetened beverages,2005,97.65423665
YLDs (Years Lived with Disability),Texas,Female,70-74 years,Diet low in whole grains,2005,112.1271341
YLDs (Years Lived with Disability),Texas,Female,65-69 years,Diet low in fiber,2005,19.03028272
YLDs (Years Lived with Disability),Utah,Female,50-54 years,Diet low in fruits,2005,14.8445754
YLDs (Years Lived with Disability),Virginia,Female,65-69 years,Diet high in red meat,2005,178.2489067
YLDs (Years Lived with Disability),Virginia,Male,95+ years,Diet low in vegetables,2005,3.066282873
YLDs (Years Lived with Disability),Washington,Female,75-79 years,Diet low in fruits,2005,42.86797707
YLDs (Years Lived with Disability),Washington,Male,75-79 years,Diet low in fruits,2005,48.81862014
YLDs (Years Lived with Disability),West Virginia,Female,80-84 years,Diet low in fiber,2005,36.54764339
YLDs (Years Lived with Disability),West Virginia,Female,90-94 years,Diet low in whole grains,2005,122.6767589
YLDs (Years Lived with Disability),West Virginia,Female,90-94 years,Diet high in sugar-sweetened beverages,2005,118.8066168
YLDs (Years Lived with Disability),Wisconsin,Female,65-69 years,Diet low in vegetables,2005,2.575620406
YLDs (Years Lived with Disability),Wyoming,Male,75-79 years,Diet low in vegetables,2005,3.417155315
YLDs (Years Lived with Disability),Wyoming,Female,85-89 years,Diet low in whole grains,2005,99.21626526
YLDs (Years Lived with Disability),Wyoming,Female,75-79 years,Diet low in whole grains,2005,93.67730013
YLDs (Years Lived with Disability),Alabama,Female,80-84 years,Diet low in vegetables,2006,14.53676681
YLDs (Years Lived with Disability),Alaska,Female,75-79 years,Diet high in processed meat,2006,443.1834786
YLDs (Years Lived with Disability),Alaska,Female,55-59 years,Diet high in sugar-sweetened beverages,2006,134.7877524
YLDs (Years Lived with Disability),Arizona,Male,95+ years,Diet high in red meat,2006,212.5320762
YLDs (Years Lived with Disability),Arizona,Male,25-29 years,Diet low in fiber,2006,0.5521898
YLDs (Years Lived with Disability),Arizona,Female,30-34 years,Diet low in vegetables,2006,0.145970386
YLDs (Years Lived with Disability),Arkansas,Male,95+ years,Diet low in fiber,2006,27.83611672
YLDs (Years Lived with Disability),Arkansas,Male,70-74 years,Diet high in sugar-sweetened beverages,2006,208.9768801
YLDs (Years Lived with Disability),California,Female,30-34 years,Diet high in processed meat,2006,17.44002444
YLDs (Years Lived with Disability),Connecticut,Male,35-39 years,Diet low in vegetables,2006,0.249698203
YLDs (Years Lived with Disability),Delaware,Female,45-49 years,Diet low in whole grains,2006,31.53290065
YLDs (Years Lived with Disability),District of Columbia,Male,50-54 years,Diet high in processed meat,2006,161.6677796
YLDs (Years Lived with Disability),District of Columbia,Female,45-49 years,Diet low in whole grains,2006,20.76180184
YLDs (Years Lived with Disability),District of Columbia,Male,40-44 years,Diet high in red meat,2006,30.73134456
YLDs (Years Lived with Disability),Florida,Female,60-64 years,Diet low in whole grains,2006,85.11321739
YLDs (Years Lived with Disability),Florida,Female,30-34 years,Diet high in red meat,2006,10.87386916
YLDs (Years Lived with Disability),Florida,Female,85-89 years,Diet low in vegetables,2006,4.243459459
YLDs (Years Lived with Disability),Florida,Male,80-84 years,Diet high in sugar-sweetened beverages,2006,209.0217208
YLDs (Years Lived with Disability),Georgia,Male,30-34 years,Diet high in red meat,2006,11.4131473
YLDs (Years Lived with Disability),Georgia,Male,40-44 years,Diet low in fiber,2006,4.8552495
YLDs (Years Lived with Disability),Georgia,Female,35-39 years,Diet low in vegetables,2006,0.253416273
YLDs (Years Lived with Disability),Idaho,Female,60-64 years,Diet high in sugar-sweetened beverages,2006,148.9403137
YLDs (Years Lived with Disability),Idaho,Female,65-69 years,Diet low in whole grains,2006,95.86987043
YLDs (Years Lived with Disability),Illinois,Male,95+ years,Diet low in whole grains,2006,124.0397457
YLDs (Years Lived with Disability),Illinois,Female,25-29 years,Diet low in vegetables,2006,0.088262124
YLDs (Years Lived with Disability),Indiana,Male,60-64 years,Diet high in sugar-sweetened beverages,2006,222.2987111
YLDs (Years Lived with Disability),Indiana,Female,35-39 years,Diet low in vegetables,2006,0.365280126
YLDs (Years Lived with Disability),Indiana,Female,65-69 years,Diet high in red meat,2006,205.9305593
YLDs (Years Lived with Disability),Indiana,Female,60-64 years,Diet high in sugar-sweetened beverages,2006,199.5668547
YLDs (Years Lived with Disability),Iowa,Female,85-89 years,Diet low in vegetables,2006,5.739817027
YLDs (Years Lived with Disability),Iowa,Male,65-69 years,Diet low in vegetables,2006,3.331377375
YLDs (Years Lived with Disability),Iowa,Female,30-34 years,Diet low in whole grains,2006,6.117600038
YLDs (Years Lived with Disability),Kansas,Male,75-79 years,Diet high in red meat,2006,252.8992566
YLDs (Years Lived with Disability),Maine,Male,90-94 years,Diet high in red meat,2006,163.0194907
YLDs (Years Lived with Disability),Massachusetts,Female,25-29 years,Diet high in red meat,2006,3.806994796
YLDs (Years Lived with Disability),Michigan,Female,75-79 years,Diet low in fiber,2006,26.88514628
YLDs (Years Lived with Disability),Minnesota,Female,25-29 years,Diet high in sugar-sweetened beverages,2006,5.994481596
YLDs (Years Lived with Disability),Minnesota,Female,95+ years,Diet high in processed meat,2006,247.691513
YLDs (Years Lived with Disability),Minnesota,Female,65-69 years,Diet high in sugar-sweetened beverages,2006,186.9696602
YLDs (Years Lived with Disability),Mississippi,Female,90-94 years,Diet low in fruits,2006,90.91774093
YLDs (Years Lived with Disability),Mississippi,Female,50-54 years,Diet low in whole grains,2006,57.21328821
YLDs (Years Lived with Disability),Missouri,Male,50-54 years,Diet low in whole grains,2006,65.99444998
YLDs (Years Lived with Disability),Missouri,Female,90-94 years,Diet high in red meat,2006,140.5736361
YLDs (Years Lived with Disability),Missouri,Male,70-74 years,Diet high in processed meat,2006,593.7630839
YLDs (Years Lived with Disability),Nebraska,Male,80-84 years,Diet high in sugar-sweetened beverages,2006,195.8118095
YLDs (Years Lived with Disability),Nevada,Female,70-74 years,Diet low in fruits,2006,45.51063643
YLDs (Years Lived with Disability),New Jersey,Female,60-64 years,Diet high in sugar-sweetened beverages,2006,178.2956697
YLDs (Years Lived with Disability),New Jersey,Male,45-49 years,Diet high in red meat,2006,65.89213989
YLDs (Years Lived with Disability),New Mexico,Female,80-84 years,Diet low in fruits,2006,52.61454263
YLDs (Years Lived with Disability),New Mexico,Female,35-39 years,Diet high in sugar-sweetened beverages,2006,31.43022183
YLDs (Years Lived with Disability),New York,Male,25-29 years,Diet high in red meat,2006,4.583688094
YLDs (Years Lived with Disability),New York,Female,45-49 years,Diet high in red meat,2006,49.52093781
YLDs (Years Lived with Disability),North Carolina,Female,55-59 years,Diet high in sugar-sweetened beverages,2006,154.8734569
YLDs (Years Lived with Disability),North Carolina,Male,55-59 years,Diet high in red meat,2006,181.0314717
YLDs (Years Lived with Disability),North Carolina,Female,60-64 years,Diet high in processed meat,2006,375.2331407
YLDs (Years Lived with Disability),North Carolina,Male,35-39 years,Diet high in processed meat,2006,49.26724823
YLDs (Years Lived with Disability),North Carolina,Male,30-34 years,Diet high in sugar-sweetened beverages,2006,15.54081156
YLDs (Years Lived with Disability),North Dakota,Male,90-94 years,Diet low in fiber,2006,39.52876872
YLDs (Years Lived with Disability),Ohio,Male,85-89 years,Diet low in fiber,2006,29.09931269
YLDs (Years Lived with Disability),Oklahoma,Female,45-49 years,Diet high in sugar-sweetened beverages,2006,78.33510659
YLDs (Years Lived with Disability),Oklahoma,Female,90-94 years,Diet low in whole grains,2006,102.2514054
YLDs (Years Lived with Disability),Oklahoma,Female,95+ years,Diet high in red meat,2006,108.4605135
YLDs (Years Lived with Disability),Pennsylvania,Female,40-44 years,Diet high in processed meat,2006,57.66049925
YLDs (Years Lived with Disability),Pennsylvania,Female,45-49 years,Diet high in processed meat,2006,97.77811398
YLDs (Years Lived with Disability),Rhode Island,Male,50-54 years,Diet low in fruits,2006,24.47245793
YLDs (Years Lived with Disability),South Dakota,Female,25-29 years,Diet high in sugar-sweetened beverages,2006,6.632026374
YLDs (Years Lived with Disability),Tennessee,Male,25-29 years,Diet low in fruits,2006,1.104153176
YLDs (Years Lived with Disability),Vermont,Female,60-64 years,Diet low in fruits,2006,22.19611905
YLDs (Years Lived with Disability),Vermont,Male,65-69 years,Diet high in processed meat,2006,466.4069719
YLDs (Years Lived with Disability),Virginia,Female,70-74 years,Diet high in processed meat,2006,459.1027686
YLDs (Years Lived with Disability),Virginia,Female,85-89 years,Diet high in red meat,2006,110.3940466
YLDs (Years Lived with Disability),Washington,Female,30-34 years,Diet low in fiber,2006,1.108033121
YLDs (Years Lived with Disability),Washington,Male,60-64 years,Diet low in fruits,2006,36.01748856
YLDs (Years Lived with Disability),Washington,Female,30-34 years,Diet low in whole grains,2006,6.002196486
YLDs (Years Lived with Disability),Wisconsin,Female,45-49 years,Diet high in processed meat,2006,95.16484427
YLDs (Years Lived with Disability),Wyoming,Female,30-34 years,Diet low in fiber,2006,0.922660711
YLDs (Years Lived with Disability),Wyoming,Female,60-64 years,Diet low in fruits,2006,11.51598808
YLDs (Years Lived with Disability),Alabama,Female,65-69 years,Diet low in fruits,2007,64.3241863
YLDs (Years Lived with Disability),Alaska,Male,80-84 years,Diet low in fiber,2007,26.35264672
YLDs (Years Lived with Disability),Arizona,Male,35-39 years,Diet low in fruits,2007,6.838795872
YLDs (Years Lived with Disability),Arkansas,Female,55-59 years,Diet high in red meat,2007,112.2287821
YLDs (Years Lived with Disability),California,Male,90-94 years,Diet low in fruits,2007,40.6187517
YLDs (Years Lived with Disability),Colorado,Male,50-54 years,Diet high in sugar-sweetened beverages,2007,86.59682508
YLDs (Years Lived with Disability),Colorado,Female,85-89 years,Diet high in processed meat,2007,270.6154882
YLDs (Years Lived with Disability),Colorado,Male,55-59 years,Diet high in processed meat,2007,220.5737118
YLDs (Years Lived with Disability),Connecticut,Male,40-44 years,Diet high in sugar-sweetened beverages,2007,54.29095164
YLDs (Years Lived with Disability),Connecticut,Male,35-39 years,Diet low in whole grains,2007,13.02236957
YLDs (Years Lived with Disability),Delaware,Female,65-69 years,Diet low in vegetables,2007,5.747584095
YLDs (Years Lived with Disability),Delaware,Male,80-84 years,Diet low in fiber,2007,32.10409754
YLDs (Years Lived with Disability),Delaware,Female,90-94 years,Diet low in fruits,2007,95.56289182
YLDs (Years Lived with Disability),District of Columbia,Male,40-44 years,Diet high in processed meat,2007,63.16568379
YLDs (Years Lived with Disability),District of Columbia,Female,90-94 years,Diet low in fiber,2007,28.87952823
YLDs (Years Lived with Disability),Florida,Female,40-44 years,Diet low in vegetables,2007,0.445312808
YLDs (Years Lived with Disability),Georgia,Male,75-79 years,Diet high in processed meat,2007,622.2536169
YLDs (Years Lived with Disability),Georgia,Male,50-54 years,Diet low in vegetables,2007,1.946088
YLDs (Years Lived with Disability),Georgia,Male,55-59 years,Diet low in fruits,2007,39.1520197
YLDs (Years Lived with Disability),Hawaii,Female,55-59 years,Diet low in fiber,2007,10.73151384
YLDs (Years Lived with Disability),Idaho,Female,60-64 years,Diet high in processed meat,2007,301.4440626
YLDs (Years Lived with Disability),Idaho,Female,25-29 years,Diet high in sugar-sweetened beverages,2007,7.003001309
YLDs (Years Lived with Disability),Idaho,Male,50-54 years,Diet low in fiber,2007,8.260472586
YLDs (Years Lived with Disability),Illinois,Female,65-69 years,Diet low in fiber,2007,17.7322946
YLDs (Years Lived with Disability),Indiana,Female,50-54 years,Diet low in fruits,2007,29.82335762
YLDs (Years Lived with Disability),Iowa,Male,60-64 years,Diet high in processed meat,2007,408.5767312
YLDs (Years Lived with Disability),Kansas,Female,90-94 years,Diet low in whole grains,2007,99.56128981
YLDs (Years Lived with Disability),Kentucky,Male,65-69 years,Diet high in red meat,2007,274.6891609
YLDs (Years Lived with Disability),Louisiana,Male,90-94 years,Diet high in sugar-sweetened beverages,2007,155.9946193
YLDs (Years Lived with Disability),Louisiana,Male,95+ years,Diet low in fiber,2007,34.94021631
YLDs (Years Lived with Disability),Maine,Female,45-49 years,Diet high in red meat,2007,45.49038431
YLDs (Years Lived with Disability),Maine,Male,25-29 years,Diet low in vegetables,2007,0.083392204
YLDs (Years Lived with Disability),Massachusetts,Male,40-44 years,Diet high in sugar-sweetened beverages,2007,52.35263522
YLDs (Years Lived with Disability),Massachusetts,Male,40-44 years,Diet high in red meat,2007,37.07973976
YLDs (Years Lived with Disability),Michigan,Male,65-69 years,Diet low in fruits,2007,53.79862851
YLDs (Years Lived with Disability),Minnesota,Female,30-34 years,Diet low in fiber,2007,0.951592448
YLDs (Years Lived with Disability),Minnesota,Male,45-49 years,Diet low in fiber,2007,5.280507301
YLDs (Years Lived with Disability),Montana,Male,45-49 years,Diet low in fiber,2007,4.873652083
YLDs (Years Lived with Disability),Montana,Female,40-44 years,Diet low in fiber,2007,3.105768042
YLDs (Years Lived with Disability),Nebraska,Female,55-59 years,Diet high in processed meat,2007,231.9215255
YLDs (Years Lived with Disability),Nebraska,Male,65-69 years,Diet low in fiber,2007,21.565743
YLDs (Years Lived with Disability),Nebraska,Female,70-74 years,Diet high in red meat,2007,208.750556
YLDs (Years Lived with Disability),New Hampshire,Female,65-69 years,Diet low in whole grains,2007,90.20784957
YLDs (Years Lived with Disability),New Jersey,Female,95+ years,Diet high in red meat,2007,74.60523466
YLDs (Years Lived with Disability),New Jersey,Female,70-74 years,Diet low in fiber,2007,18.03939565
YLDs (Years Lived with Disability),New Mexico,Female,50-54 years,Diet low in whole grains,2007,51.37487207
YLDs (Years Lived with Disability),New York,Male,90-94 years,Diet low in vegetables,2007,4.535794061
YLDs (Years Lived with Disability),North Carolina,Female,60-64 years,Diet low in vegetables,2007,0.057835066
YLDs (Years Lived with Disability),North Dakota,Female,30-34 years,Diet high in red meat,2007,9.176239044
YLDs (Years Lived with Disability),North Dakota,Female,65-69 years,Diet high in processed meat,2007,397.9145825
YLDs (Years Lived with Disability),Ohio,Female,95+ years,Diet high in red meat,2007,175.8812543
YLDs (Years Lived with Disability),Ohio,Female,80-84 years,Diet low in fiber,2007,33.47705813
YLDs (Years Lived with Disability),Ohio,Female,70-74 years,Diet low in vegetables,2007,0.621868924
YLDs (Years Lived with Disability),Oklahoma,Female,55-59 years,Diet high in sugar-sweetened beverages,2007,144.5936115
YLDs (Years Lived with Disability),Oklahoma,Female,45-49 years,Diet low in vegetables,2007,0.95621875
YLDs (Years Lived with Disability),Oklahoma,Female,50-54 years,Diet low in whole grains,2007,51.96105341
YLDs (Years Lived with Disability),Oklahoma,Male,70-74 years,Diet low in fruits,2007,104.0339584
YLDs (Years Lived with Disability),Oregon,Female,35-39 years,Diet low in fruits,2007,3.97200083
YLDs (Years Lived with Disability),Pennsylvania,Male,95+ years,Diet high in red meat,2007,168.6616618
YLDs (Years Lived with Disability),Pennsylvania,Female,40-44 years,Diet high in sugar-sweetened beverages,2007,40.27796564
YLDs (Years Lived with Disability),Pennsylvania,Male,55-59 years,Diet low in fruits,2007,26.03714584
YLDs (Years Lived with Disability),South Carolina,Female,50-54 years,Diet low in fruits,2007,27.78859053
YLDs (Years Lived with Disability),South Carolina,Male,40-44 years,Diet low in whole grains,2007,35.55343757
YLDs (Years Lived with Disability),South Dakota,Female,45-49 years,Diet high in red meat,2007,45.56351203
YLDs (Years Lived with Disability),Tennessee,Female,30-34 years,Diet high in red meat,2007,13.2456959
YLDs (Years Lived with Disability),Texas,Male,35-39 years,Diet low in fiber,2007,2.762561039
YLDs (Years Lived with Disability),Texas,Male,55-59 years,Diet high in red meat,2007,183.9122821
YLDs (Years Lived with Disability),Utah,Female,75-79 years,Diet low in vegetables,2007,3.490858724
YLDs (Years Lived with Disability),Utah,Female,30-34 years,Diet high in sugar-sweetened beverages,2007,14.01615171
YLDs (Years Lived with Disability),Utah,Male,40-44 years,Diet low in fruits,2007,10.54350516
YLDs (Years Lived with Disability),Vermont,Female,85-89 years,Diet high in red meat,2007,108.9003363
YLDs (Years Lived with Disability),Vermont,Female,40-44 years,Diet high in sugar-sweetened beverages,2007,35.5488628
YLDs (Years Lived with Disability),Vermont,Female,90-94 years,Diet low in fruits,2007,35.32273406
YLDs (Years Lived with Disability),Virginia,Female,50-54 years,Diet high in sugar-sweetened beverages,2007,118.8146991
YLDs (Years Lived with Disability),Washington,Female,35-39 years,Diet low in whole grains,2007,9.809445821
YLDs (Years Lived with Disability),Washington,Female,60-64 years,Diet high in red meat,2007,126.0345405
YLDs (Years Lived with Disability),West Virginia,Female,85-89 years,Diet high in red meat,2007,164.8725285
YLDs (Years Lived with Disability),Wyoming,Female,40-44 years,Diet low in fruits,2007,7.74249939
YLDs (Years Lived with Disability),Wyoming,Male,75-79 years,Diet high in red meat,2007,197.5804639
YLDs (Years Lived with Disability),Alabama,Male,70-74 years,Diet high in processed meat,2008,610.0852905
YLDs (Years Lived with Disability),Alabama,Female,90-94 years,Diet high in sugar-sweetened beverages,2008,118.1466799
YLDs (Years Lived with Disability),Alaska,Female,45-49 years,Diet high in sugar-sweetened beverages,2008,73.24842289
YLDs (Years Lived with Disability),Arizona,Male,40-44 years,Diet high in red meat,2008,46.79320154
YLDs (Years Lived with Disability),Arizona,Female,75-79 years,Diet low in fiber,2008,24.16688502
YLDs (Years Lived with Disability),California,Female,25-29 years,Diet high in red meat,2008,4.831920929
YLDs (Years Lived with Disability),California,Male,35-39 years,Diet low in vegetables,2008,0.022533658
YLDs (Years Lived with Disability),Colorado,Female,40-44 years,Diet low in whole grains,2008,12.38845675
YLDs (Years Lived with Disability),Connecticut,Female,30-34 years,Diet low in fruits,2008,2.58939321
YLDs (Years Lived with Disability),Delaware,Male,30-34 years,Diet high in processed meat,2008,23.23374018
YLDs (Years Lived with Disability),Delaware,Male,85-89 years,Diet low in fruits,2008,77.98758492
YLDs (Years Lived with Disability),Delaware,Female,80-84 years,Diet low in whole grains,2008,120.8471614
YLDs (Years Lived with Disability),District of Columbia,Male,95+ years,Diet high in processed meat,2008,346.9149354
YLDs (Years Lived with Disability),District of Columbia,Male,30-34 years,Diet low in fruits,2008,1.772616291
YLDs (Years Lived with Disability),District of Columbia,Male,85-89 years,Diet high in red meat,2008,213.3041288
YLDs (Years Lived with Disability),Georgia,Male,30-34 years,Diet low in whole grains,2008,9.013847709
YLDs (Years Lived with Disability),Georgia,Female,65-69 years,Diet low in vegetables,2008,0.093181608
YLDs (Years Lived with Disability),Idaho,Female,40-44 years,Diet low in fruits,2008,12.42331274
YLDs (Years Lived with Disability),Idaho,Female,85-89 years,Diet low in fiber,2008,26.31616376
YLDs (Years Lived with Disability),Idaho,Male,30-34 years,Diet low in fiber,2008,0.932331012
YLDs (Years Lived with Disability),Idaho,Male,50-54 years,Diet low in vegetables,2008,1.744691732
YLDs (Years Lived with Disability),Iowa,Male,25-29 years,Diet high in sugar-sweetened beverages,2008,6.761416222
YLDs (Years Lived with Disability),Iowa,Female,30-34 years,Diet high in sugar-sweetened beverages,2008,15.18047823
YLDs (Years Lived with Disability),Iowa,Male,50-54 years,Diet low in fiber,2008,9.42894922
YLDs (Years Lived with Disability),Iowa,Male,60-64 years,Diet high in sugar-sweetened beverages,2008,190.4111708
YLDs (Years Lived with Disability),Iowa,Female,95+ years,Diet low in vegetables,2008,1.907916973
YLDs (Years Lived with Disability),Kansas,Female,55-59 years,Diet low in fiber,2008,11.73656167
YLDs (Years Lived with Disability),Kansas,Male,90-94 years,Diet low in fiber,2008,37.386794
YLDs (Years Lived with Disability),Kentucky,Male,40-44 years,Diet low in whole grains,2008,37.10607906
YLDs (Years Lived with Disability),Maine,Male,95+ years,Diet low in fruits,2008,56.70771658
YLDs (Years Lived with Disability),Maine,Female,85-89 years,Diet high in sugar-sweetened beverages,2008,120.2393042
YLDs (Years Lived with Disability),Maine,Female,85-89 years,Diet low in vegetables,2008,3.905065834
YLDs (Years Lived with Disability),Maryland,Female,40-44 years,Diet high in red meat,2008,32.15512789
YLDs (Years Lived with Disability),Massachusetts,Male,75-79 years,Diet low in vegetables,2008,5.017178366
YLDs (Years Lived with Disability),Massachusetts,Female,75-79 years,Diet high in sugar-sweetened beverages,2008,220.1127993
YLDs (Years Lived with Disability),Michigan,Male,35-39 years,Diet low in vegetables,2008,0.351172708
YLDs (Years Lived with Disability),Minnesota,Male,75-79 years,Diet high in sugar-sweetened beverages,2008,242.836113
YLDs (Years Lived with Disability),Minnesota,Female,45-49 years,Diet high in red meat,2008,42.21691833
YLDs (Years Lived with Disability),Minnesota,Female,80-84 years,Diet high in processed meat,2008,388.7119086
YLDs (Years Lived with Disability),Mississippi,Male,85-89 years,Diet low in fiber,2008,30.85705622
YLDs (Years Lived with Disability),Missouri,Female,80-84 years,Diet low in fruits,2008,68.67744291
YLDs (Years Lived with Disability),Nebraska,Male,75-79 years,Diet low in fiber,2008,28.45936517
YLDs (Years Lived with Disability),Nevada,Female,70-74 years,Diet high in red meat,2008,198.6943764
YLDs (Years Lived with Disability),New Hampshire,Male,85-89 years,Diet low in fruits,2008,29.11468806
YLDs (Years Lived with Disability),New Hampshire,Female,35-39 years,Diet low in vegetables,2008,0.18544002
YLDs (Years Lived with Disability),New Hampshire,Male,40-44 years,Diet high in processed meat,2008,80.65499822
YLDs (Years Lived with Disability),New York,Female,85-89 years,Diet high in sugar-sweetened beverages,2008,136.7595163
YLDs (Years Lived with Disability),New York,Male,95+ years,Diet low in whole grains,2008,145.820874
YLDs (Years Lived with Disability),North Dakota,Female,35-39 years,Diet low in whole grains,2008,10.14107459
YLDs (Years Lived with Disability),North Dakota,Female,95+ years,Diet low in whole grains,2008,99.40460127
YLDs (Years Lived with Disability),Ohio,Female,50-54 years,Diet low in fruits,2008,27.55831154
YLDs (Years Lived with Disability),Ohio,Male,95+ years,Diet low in fruits,2008,48.87301095
YLDs (Years Lived with Disability),Ohio,Male,65-69 years,Diet low in vegetables,2008,1.71024003
YLDs (Years Lived with Disability),Ohio,Male,75-79 years,Diet high in processed meat,2008,685.4837354
YLDs (Years Lived with Disability),Oklahoma,Female,65-69 years,Diet low in whole grains,2008,107.4284818
YLDs (Years Lived with Disability),Oregon,Female,55-59 years,Diet high in red meat,2008,95.30794544
YLDs (Years Lived with Disability),Oregon,Female,50-54 years,Diet low in vegetables,2008,0.636791954
YLDs (Years Lived with Disability),Oregon,Female,75-79 years,Diet low in vegetables,2008,2.49970396
YLDs (Years Lived with Disability),Pennsylvania,Female,50-54 years,Diet low in fruits,2008,18.27278858
YLDs (Years Lived with Disability),Pennsylvania,Female,40-44 years,Diet high in red meat,2008,29.70475313
YLDs (Years Lived with Disability),Rhode Island,Female,65-69 years,Diet low in vegetables,2008,2.916694715
YLDs (Years Lived with Disability),Rhode Island,Female,80-84 years,Diet low in vegetables,2008,2.939296698
YLDs (Years Lived with Disability),South Carolina,Female,55-59 years,Diet high in processed meat,2008,306.9275608
YLDs (Years Lived with Disability),Tennessee,Female,25-29 years,Diet low in whole grains,2008,5.400442991
YLDs (Years Lived with Disability),Texas,Male,30-34 years,Diet high in processed meat,2008,26.49910315
YLDs (Years Lived with Disability),Texas,Female,90-94 years,Diet high in processed meat,2008,336.3561716
YLDs (Years Lived with Disability),Texas,Male,65-69 years,Diet low in fruits,2008,20.61961534
YLDs (Years Lived with Disability),Texas,Male,70-74 years,Diet high in sugar-sweetened beverages,2008,253.2195925
YLDs (Years Lived with Disability),Utah,Female,45-49 years,Diet low in fiber,2008,6.100121618
YLDs (Years Lived with Disability),Vermont,Female,70-74 years,Diet low in vegetables,2008,3.051660557
YLDs (Years Lived with Disability),Virginia,Male,60-64 years,Diet low in fruits,2008,21.40755259
YLDs (Years Lived with Disability),Washington,Male,55-59 years,Diet high in processed meat,2008,288.695611
YLDs (Years Lived with Disability),Washington,Female,35-39 years,Diet low in fruits,2008,6.700165448
YLDs (Years Lived with Disability),Wisconsin,Female,90-94 years,Diet low in fiber,2008,37.41198855
YLDs (Years Lived with Disability),Wisconsin,Female,60-64 years,Diet low in whole grains,2008,85.21183727
YLDs (Years Lived with Disability),Wisconsin,Male,80-84 years,Diet high in processed meat,2008,523.9130025
YLDs (Years Lived with Disability),Wisconsin,Female,85-89 years,Diet low in whole grains,2008,120.8066189
YLDs (Years Lived with Disability),Wyoming,Female,60-64 years,Diet high in processed meat,2008,269.7566983
YLDs (Years Lived with Disability),Wyoming,Female,40-44 years,Diet low in fruits,2008,8.19749224
YLDs (Years Lived with Disability),Wyoming,Male,35-39 years,Diet low in fruits,2008,5.5963731
YLDs (Years Lived with Disability),Wyoming,Female,80-84 years,Diet low in whole grains,2008,92.89265853
YLDs (Years Lived with Disability),Alabama,Male,55-59 years,Diet high in red meat,2009,178.1006898
YLDs (Years Lived with Disability),Alaska,Male,90-94 years,Diet high in processed meat,2009,455.2310168
YLDs (Years Lived with Disability),Alaska,Female,25-29 years,Diet low in vegetables,2009,0.067026508
YLDs (Years Lived with Disability),Arizona,Female,75-79 years,Diet low in fiber,2009,24.73197915
YLDs (Years Lived with Disability),Arizona,Male,30-34 years,Diet high in processed meat,2009,23.86660408
YLDs (Years Lived with Disability),Arkansas,Male,80-84 years,Diet high in red meat,2009,186.6834653
YLDs (Years Lived with Disability),Arkansas,Male,70-74 years,Diet high in processed meat,2009,551.6972688
YLDs (Years Lived with Disability),Colorado,Male,45-49 years,Diet high in red meat,2009,54.37038009
YLDs (Years Lived with Disability),Colorado,Female,40-44 years,Diet high in processed meat,2009,47.12405225
YLDs (Years Lived with Disability),Connecticut,Female,90-94 years,Diet low in fruits,2009,42.73196821
YLDs (Years Lived with Disability),Connecticut,Male,70-74 years,Diet low in fruits,2009,46.0463528
YLDs (Years Lived with Disability),Delaware,Female,35-39 years,Diet low in fruits,2009,8.329661392
YLDs (Years Lived with Disability),Delaware,Male,35-39 years,Diet low in whole grains,2009,19.56263665
YLDs (Years Lived with Disability),District of Columbia,Male,75-79 years,Diet low in vegetables,2009,4.61082251
YLDs (Years Lived with Disability),Florida,Female,60-64 years,Diet high in red meat,2009,159.6018131
YLDs (Years Lived with Disability),Georgia,Male,90-94 years,Diet low in vegetables,2009,6.799051281
